HashID,Parameters,FLOPs,device,accelerator_backend,base_acc_test (%),inference_acc (%),warm_up,latency_ms,energy_J,RAM_usage_MB,swap_usage_MB,peak_memory_MB,Power_W,notes
888,7554826,1200329280,jetson,onnxruntime_gpu,86.0,86.0,50,114.08,371.87,1876.66,2102.28,1024.15,7.85,
3730,9122338,1444682304,jetson,onnxruntime_gpu,86.8,86.8,50,125.39,587.35,1837.58,2047.73,1092.9,7.39,
2768,8260822,1308640320,jetson,onnxruntime_gpu,87.7,87.7,50,111.03,517.18,1855.27,2063.38,1100.41,7.32,
5960,8232418,1312607808,jetson,onnxruntime_gpu,85.2,85.2,50,120.59,562.95,1839.49,2080.21,1073.31,7.23,
5069,9337150,1467948096,jetson,onnxruntime_gpu,87.3,87.3,50,90.76,441.67,1837.17,2084.48,1066.24,8.17,
2475,8763022,1395095616,jetson,onnxruntime_gpu,89.7,89.7,50,95.11,468.13,1837.57,2084.35,1066.25,7.8,
4429,9791506,1545141312,jetson,onnxruntime_gpu,85.1,85.1,50,172.87,779.72,1827.33,2111.7,1038.79,7.03,
5234,8290738,1330841664,jetson,onnxruntime_gpu,87.0,87.0,50,86.52,414.45,1825.3,2111.55,1038.16,7.82,
5268,9484570,1505397312,jetson,onnxruntime_gpu,85.1,85.1,50,111.32,538.7,1817.68,2114.2,1038.17,7.78,
2854,9324730,1492167744,jetson,onnxruntime_gpu,87.5,87.5,50,91.06,440.36,1811.65,2118.1,1034.14,8.13,
5268,9484570,1505397312,orange,rknn_npu,85.1,85.1,50,16.45,40.92,737.61,0.0,325.59,2.47,
5234,8290738,1330841664,orange,rknn_npu,87.0,87.0,50,15.23,37.31,799.86,0.0,352.3,2.4,
4429,9791506,1545141312,orange,rknn_npu,85.2,85.2,50,13.41,38.27,767.37,0.0,355.68,2.59,
3730,9122338,1444682304,orange,rknn_npu,86.8,86.8,50,13.96,36.89,766.24,0.0,354.02,2.51,
2475,8763022,1395095616,orange,rknn_npu,89.7,89.7,50,13.02,36.81,765.73,0.0,353.79,2.59,
2854,9324730,1492167744,orange,rknn_npu,87.5,87.5,50,16.28,41.32,767.64,0.0,355.23,2.5,
2768,8260822,1308640320,orange,rknn_npu,87.7,87.7,50,14.78,36.2,764.39,0.0,352.49,2.37,
888,7554826,1200329280,orange,rknn_npu,86.0,86.0,50,12.97,33.63,763.9,0.0,351.36,2.45,
5069,9337150,1467948096,orange,rknn_npu,87.3,87.3,50,14.94,40.98,767.59,0.0,355.13,2.58,
5960,8232418,1312607808,orange,rknn_npu,85.2,85.2,50,15.73,37.88,764.37,0.0,352.78,2.37,
5268,9484570,1505397312,rasp,pytorch_cpu,85.1,85.1,50,122.82,575.92,832.02,0.0,351.45,7.67,
2768,8260822,1308640320,rasp,pytorch_cpu,87.7,87.7,50,108.99,506.23,925.81,0.0,372.92,7.6,
5069,9337150,1467948096,rasp,pytorch_cpu,87.3,87.3,50,125.72,582.44,949.97,0.0,373.59,7.6,
5234,8290738,1330841664,rasp,pytorch_cpu,87.0,87.0,50,106.75,500.18,946.5,0.0,373.12,7.65,
888,7554826,1200329280,rasp,pytorch_cpu,86.0,86.0,50,98.33,468.34,931.59,0.0,373.12,7.72,
3730,9122338,1444682304,rasp,pytorch_cpu,86.8,86.8,50,119.44,561.31,943.17,0.0,373.48,7.68,
2854,9324730,1492167744,rasp,pytorch_cpu,87.5,87.5,50,122.69,576.57,941.53,0.0,373.62,7.67,
4429,9791506,1545141312,rasp,pytorch_cpu,85.1,85.1,50,126.7,594.37,948.09,0.0,373.7,7.66,
2475,8763022,1395095616,rasp,pytorch_cpu,89.7,89.7,50,114.84,543.01,918.09,0.0,377.52,7.69,
5960,8232418,1312607808,rasp,pytorch_cpu,85.2,85.2,50,108.12,507.53,906.8,0.0,376.95,7.65,
