HashID,Parameters,FLOPs,device,accelerator_backend,base_acc_test (%),inference_acc (%),warm_up,latency_ms,energy_J,RAM_usage_MB,swap_usage_MB,peak_memory_MB,Power_W,notes
1459,858426,124873408,jetson,onnxruntime_gpu,85.6,85.6,50,62.92,53.54,1865.55,2011.11,1092.74,4.61,
9930,1288506,187787968,jetson,onnxruntime_gpu,84.3,84.3,50,24.18,60.88,1866.48,1970.44,1157.66,4.65,
2581,1073466,156330688,jetson,onnxruntime_gpu,84.8,84.8,50,22.99,56.05,1844.78,1972.81,1150.95,4.56,
13417,802426,115862208,jetson,onnxruntime_gpu,85.9,85.9,50,17.1,46.96,1821.69,2020.23,1103.55,4.55,
2053,830426,120367808,jetson,onnxruntime_gpu,85.2,85.2,50,19.88,51.38,1807.21,2024.61,1096.93,4.52,
13714,1073466,156330688,jetson,onnxruntime_gpu,84.4,84.4,50,21.45,56.19,1806.29,2024.55,1095.81,4.65,
12415,802426,115862208,jetson,onnxruntime_gpu,86.0,86.0,50,17.13,49.24,1802.48,2046.99,1072.45,4.65,
5374,830426,120367808,jetson,onnxruntime_gpu,86.1,86.1,50,19.21,51.45,1793.48,2046.72,1072.39,4.55,
655,1045466,151825088,jetson,onnxruntime_gpu,84.8,84.8,50,21.2,55.49,1789.31,2046.67,1072.43,4.59,
1317,830426,120367808,jetson,onnxruntime_gpu,85.1,85.1,50,19.69,54.14,1789.28,2046.64,1072.45,4.66,
1459,858426,124873408,orange,rknn_npu,85.6,85.6,50,4.47,6.2,683.27,0.0,270.96,1.25,
2053,830426,120367808,orange,rknn_npu,85.2,85.2,50,4.44,6.14,748.16,0.0,300.41,1.26,
1317,830426,120367808,orange,rknn_npu,85.0,85.0,50,4.32,6.13,712.21,0.0,300.45,1.25,
655,1045466,151825088,orange,rknn_npu,84.8,84.8,50,4.57,6.28,712.18,0.0,300.88,1.24,
13417,802426,115862208,orange,rknn_npu,85.9,85.9,50,5.84,7.03,710.41,0.0,300.54,1.25,
2581,1073466,156330688,orange,rknn_npu,84.8,84.8,50,5.08,6.51,712.99,0.0,301.21,1.23,
5374,830426,120367808,orange,rknn_npu,86.1,86.1,50,4.29,6.06,712.64,0.0,300.63,1.25,
9930,1288506,187787968,orange,rknn_npu,84.3,84.3,50,5.14,6.79,712.82,0.0,301.63,1.24,
12415,802426,115862208,orange,rknn_npu,86.0,86.0,50,4.12,5.5,712.44,0.0,300.44,1.22,
13714,1073466,156330688,orange,rknn_npu,84.4,84.4,50,5.1,6.61,712.56,0.0,301.21,1.22,
655,1045466,151825088,rasp,pytorch_cpu,84.8,84.8,50,10.78,55.37,747.36,0.0,289.08,7.39,
13417,802426,115862208,rasp,pytorch_cpu,85.9,85.9,50,9.25,46.34,860.09,0.0,317.3,7.18,
2053,830426,120367808,rasp,pytorch_cpu,85.2,85.2,50,10.01,47.5,839.67,0.0,317.56,7.02,
13714,1073466,156330688,rasp,pytorch_cpu,84.4,84.4,50,11.69,58.32,827.88,0.0,317.22,7.29,
9930,1288506,187787968,rasp,pytorch_cpu,84.3,84.3,50,12.8,66.91,785.55,0.0,322.05,7.63,
2581,1073466,156330688,rasp,pytorch_cpu,84.8,84.8,50,12.16,59.27,791.88,0.0,322.59,7.17,
12415,802426,115862208,rasp,pytorch_cpu,86.0,86.0,50,9.61,48.17,849.88,0.0,322.3,7.16,
5374,830426,120367808,rasp,pytorch_cpu,86.1,86.1,50,9.92,48.82,836.38,0.0,320.12,7.22,
1317,830426,120367808,rasp,pytorch_cpu,85.1,85.1,50,9.99,48.19,865.38,0.0,320.0,7.08,
1459,858426,124873408,rasp,pytorch_cpu,85.6,85.6,50,10.61,50.68,846.27,0.0,319.78,7.1,
